cohort,hgrades,hgrades_c,Cgrades,bparented,bparented_c,pell,hapcl,hapcl_c,hprecalc13,hprecalc13_c,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,hacadpr13,hacadpr13_c,tcare,tcare_c,firstgen,re_all,living18,sex,StemMaj,StemMaj_c,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,r,r_minus,r_plus,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,id,DE_group_temp,hdc17,DC_student
0,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,32,2.7,3.7,2,2,2,2,3,2,3,3,2,2,2,3,3,3,3,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2131,1,1,0
0,7,0.47299999999999986,7,5,-1.0448000000000004,1,1,0.7532,0,-0.3436,2,-2.4880000000000004,3,0.6989999999999998,13,3.2376000000000005,3,0.05039999999999978,0,Black/African American,Off-campus (rent/apartment),Male,1,0.7518,6,0,0.0,-0.5745506169396439,-0.0,22,1.7000000000000002,2.7,4,4,3,2,3,2,2,2,2,3,2,2,3,4,3,3.0,3.0,3.0,,3.0,3.0,,7.0,6.0,6.0,7.0,2132,1,1,0
1,6,-0.5270000000000001,5,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,2,-2.4880000000000004,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,-11,-1.6,-0.6000000000000001,4,3,3,2,3,2,3,3,3,2,3,3,2,3,3,4.0,4.0,4.0,,4.0,3.0,3.0,4.0,4.0,,4.0,2133,1,3,1
1,6,-0.5270000000000001,7,6,-0.044800000000000395,0,1,0.7532,1,0.6564,6,1.5119999999999996,2,-0.30100000000000016,13,3.2376000000000005,0,-2.9496,0,Asian,With family (commuting),Female,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,-5,-1.0,0.0,2,2,2,3,3,3,3,2,3,2,2,3,3,3,3,4.0,4.0,4.0,4.0,4.0,,5.0,6.0,5.0,7.0,6.0,2134,1,1,0
0,7,0.47299999999999986,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,35,25.2376,3,0.05039999999999978,0,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,68,1,5.620251629869929,5.0457010129302855,5.0457010129302855,-1,-0.6,0.4,3,3,3,3,2,2,1,2,3,2,3,2,2,3,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2135,2,5,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,13,3.2376000000000005,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,32,1,2.068406127197979,1.4938555102583349,1.4938555102583349,6,0.09999999999999998,1.1,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,2136,2,4,1
1,7,0.47299999999999986,5,8,1.9551999999999996,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,Other/Multiracial/Unknown,With family (commuting),Female,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,34,2.9,3.9,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,4.0,3.0,4.0,4.0,3.0,3.0,6.0,7.0,6.0,6.0,6.0,2137,1,2,1
1,6,-0.5270000000000001,5,7,0.9551999999999996,0,1,0.7532,0,-0.3436,6,1.5119999999999996,4,1.6989999999999998,13,3.2376000000000005,0,-2.9496,0,Asian,Off-campus (rent/apartment),Female,0,-0.2482,14,1,0.2104320974892012,-0.3641185194504427,-0.3641185194504427,19,1.4,2.4,2,1,1,3,3,4,3,3,2,2,1,2,2,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2138,2,5,1
0,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,7,2.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,28,25.0504,1,White,With family (commuting),Male,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,-15,-2.0,-1.0,4,3,3,3,3,3,3,4,2,2,3,2,2,3,4,4.0,,4.0,4.0,3.0,,4.0,,4.0,4.0,4.0,2139,1,2,1
0,5,-1.5270000000000001,6,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,2,-2.4880000000000004,2,-0.30100000000000016,35,25.2376,0,-2.9496,0,Hispanic/Latino,With family (commuting),Female,1,0.7518,3,0,0.0,-0.5745506169396439,-0.0,14,0.8999999999999999,1.9,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2140,1,2,1
0,7,0.47299999999999986,7,6,-0.044800000000000395,1,1,0.7532,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,White,Off-campus (rent/apartment),Female,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,30,2.5,3.5,1,2,2,3,3,3,3,3,2,3,2,2,2,2,2,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2141,0,3,1
0,6,-0.5270000000000001,6,7,0.9551999999999996,0,0,-0.2468,1,0.6564,2,-2.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Black/African American,Off-campus (rent/apartment),Male,0,-0.2482,5,0,0.0,-0.5745506169396439,-0.0,32,2.7,3.7,3,3,3,2,3,3,2,2,2,2,2,1,2,3,3,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,2142,1,1,0
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,1,0.7532,1,0.6564,4,-0.48800000000000043,1,-1.3010000000000002,13,3.2376000000000005,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,2,0,0.0,-0.5745506169396439,-0.0,8,0.30000000000000004,1.3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,3,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2143,1,3,1
0,8,1.4729999999999999,7,6,-0.044800000000000395,0,1,0.7532,0,-0.3436,3,-1.4880000000000004,1,-1.3010000000000002,18,8.2376,3,0.05039999999999978,0,White,Off-campus (rent/apartment),Male,0,-0.2482,65,1,5.326020291564271,4.751469674624627,4.751469674624627,-5,-1.0,0.0,4,3,3,2,2,2,1,2,3,2,2,3,3,2,3,2.0,3.0,3.0,3.0,2.0,3.0,7.0,6.0,6.0,6.0,7.0,2144,2,7,1
1,7,0.47299999999999986,6,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,8,-1.7623999999999995,13,10.0504,0,Hispanic/Latino,On-campus (residence hall),Female,1,0.7518,5,0,0.0,-0.5745506169396439,-0.0,4,-0.09999999999999998,0.9,3,2,3,4,4,3,3,4,4,4,3,4,4,4,3,3.0,3.0,3.0,3.0,3.0,2.0,6.0,5.0,6.0,6.0,6.0,2145,1,1,0
1,6,-0.5270000000000001,6,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,23,13.2376,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,1,0.7518,5,0,0.0,-0.5745506169396439,-0.0,-1,-0.6,0.4,2,2,2,2,3,2,3,3,3,3,4,4,3,3,3,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2146,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,1,0.7532,0,-0.3436,2,-2.4880000000000004,2,-0.30100000000000016,8,-1.7623999999999995,3,0.05039999999999978,0,White,Off-campus (rent/apartment),Male,0,-0.2482,1,0,0.0,-0.5745506169396439,-0.0,13,0.8,1.8,2,2,2,3,2,3,2,3,3,4,3,3,4,3,3,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2147,1,2,1
0,6,-0.5270000000000001,7,5,-1.0448000000000004,0,1,0.7532,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,8,-1.7623999999999995,13,10.0504,0,White,On-campus (residence hall),Male,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,20,1.5,2.5,4,4,3,3,3,3,3,3,4,4,4,3,3,4,4,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,2148,1,1,0
1,8,1.4729999999999999,7,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,18,8.2376,3,0.05039999999999978,1,Asian,With family (commuting),Male,0,-0.2482,5,0,0.0,-0.5745506169396439,-0.0,2,-0.3,0.7,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,4.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2149,1,2,1
1,6,-0.5270000000000001,6,5,-1.0448000000000004,0,1,0.7532,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,8,-1.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,26,1,1.4260665069253722,0.8515158899857282,0.8515158899857282,5,0.0,1.0,2,2,3,3,2,3,3,3,3,4,4,4,3,3,3,4.0,,5.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,2150,2,7,1
0,7,0.47299999999999986,7,7,0.9551999999999996,1,0,-0.2468,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,1,0.7518,78,1,6.607075988853715,6.032525371914072,6.032525371914072,15,1.0,2.0,2,2,2,4,3,3,3,3,3,4,4,3,4,3,3,4.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,6.0,,2151,2,4,1
1,5,-1.5270000000000001,7,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,1,-1.3010000000000002,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,2,0,0.0,-0.5745506169396439,-0.0,7,0.19999999999999996,1.2,3,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2152,1,2,1
0,8,1.4729999999999999,6,6,-0.044800000000000395,0,1,0.7532,1,0.6564,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,8,5.0504,0,White,On-campus (residence hall),Male,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,20,1.5,2.5,4,3,4,3,2,2,3,3,3,2,2,3,2,3,3,4.0,3.0,,4.0,4.0,4.0,7.0,,7.0,7.0,7.0,2153,1,1,0
0,6,-0.5270000000000001,7,6,-0.044800000000000395,1,1,0.7532,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,5,0,0.0,-0.5745506169396439,-0.0,-7,-1.2,-0.19999999999999996,3,3,3,3,2,3,2,3,3,3,3,2,2,2,2,3.0,3.0,3.0,3.0,2.0,3.0,6.0,6.0,6.0,6.0,,2154,1,2,1
0,5,-1.5270000000000001,7,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,12,1,0.0037535817599676944,-0.5707970351796763,-0.5707970351796763,19,1.4,2.4,4,4,4,4,3,4,4,4,3,3,2,2,3,2,3,4.0,,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,2155,2,6,1
0,5,-1.5270000000000001,6,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,13,3.2376000000000005,3,0.05039999999999978,1,White,Off-campus (rent/apartment),Male,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,29,2.4,3.4,3,2,2,3,3,3,2,3,3,4,4,3,4,3,3,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,2156,0,3,1
1,5,-1.5270000000000001,6,8,1.9551999999999996,1,0,-0.2468,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,18,8.2376,0,-2.9496,0,White,With family (commuting),Male,0,-0.2482,6,0,0.0,-0.5745506169396439,-0.0,-13,-1.8,-0.8,2,2,2,3,4,3,4,3,2,2,2,1,2,2,3,3.0,3.0,,3.0,3.0,,6.0,6.0,5.0,5.0,6.0,2157,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,0,1,0.7532,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,8,-1.7623999999999995,0,-2.9496,0,Asian,With family (commuting),Male,1,0.7518,46,1,3.4567874494716397,2.882236832531996,2.882236832531996,16,1.1,2.1,1,2,2,3,3,3,3,3,3,3,2,3,3,2,2,4.0,4.0,4.0,4.0,4.0,3.0,6.0,6.0,7.0,7.0,7.0,2158,2,6,1
1,6,-0.5270000000000001,7,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,1,-3.4880000000000004,3,0.6989999999999998,0,-9.7624,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,14,1,0.28877632735351355,-0.2857742895861304,-0.2857742895861304,19,1.4,2.4,4,4,3,2,2,2,2,2,2,2,3,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,2159,2,5,1
0,6,-0.5270000000000001,6,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,26,2.1,3.1,3,4,3,4,3,4,4,3,3,3,3,3,2,4,4,2.0,2.0,2.0,2.0,2.0,1.0,6.0,6.0,6.0,6.0,5.0,2160,1,3,1
0,8,1.4729999999999999,7,7,0.9551999999999996,1,1,0.7532,0,-0.3436,5,0.5119999999999996,4,1.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,-15,-2.0,-1.0,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,2161,1,2,1
1,6,-0.5270000000000001,6,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,6,1.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Other/Multiracial/Unknown,With family (commuting),Female,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,2,-0.3,0.7,2,3,2,4,3,3,4,3,3,3,3,4,3,3,3,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2162,0,1,0
1,8,1.4729999999999999,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,13,3.2376000000000005,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,1,0,0.0,-0.5745506169396439,-0.0,19,1.4,2.4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,2163,1,2,1
1,7,0.47299999999999986,6,8,1.9551999999999996,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,8,-1.7623999999999995,3,0.05039999999999978,1,Asian,Off-campus (rent/apartment),Male,0,-0.2482,28,1,1.68552559238089,1.1109749754412461,1.1109749754412461,17,1.2,2.2,3,2,2,3,3,3,3,2,2,2,1,2,2,3,3,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2164,2,5,1
0,8,1.4729999999999999,7,8,1.9551999999999996,0,1,0.7532,1,0.6564,6,1.5119999999999996,2,-0.30100000000000016,13,3.2376000000000005,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,49,1,3.7339154341597522,3.1593648172201085,3.1593648172201085,12,0.7,1.7,2,2,2,3,2,3,3,3,3,3,3,3,3,4,4,3.0,,3.0,3.0,3.0,4.0,,5.0,5.0,5.0,5.0,2165,2,4,1
0,6,-0.5270000000000001,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,0,Other/Multiracial/Unknown,With family (commuting),Female,1,0.7518,6,0,0.0,-0.5745506169396439,-0.0,16,1.1,2.1,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,,2166,1,1,0
1,6,-0.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,3,-1.4880000000000004,2,-0.30100000000000016,13,3.2376000000000005,0,-2.9496,0,Other/Multiracial/Unknown,With family (commuting),Female,1,0.7518,10,0,0.0,-0.5745506169396439,-0.0,-3,-0.8,0.2,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,3.0,4.0,4.0,4.0,4.0,,5.0,6.0,6.0,7.0,6.0,2167,1,1,0
1,8,1.4729999999999999,7,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,8,-1.7623999999999995,8,5.0504,0,White,With family (commuting),Male,0,-0.2482,6,0,0.0,-0.5745506169396439,-0.0,32,2.7,3.7,3,2,2,3,2,3,3,3,2,2,3,2,3,3,3,3.0,4.0,4.0,4.0,4.0,,5.0,5.0,6.0,6.0,5.0,2168,1,2,1
0,5,-1.5270000000000001,4,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,2,-2.4880000000000004,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,1,Asian,Off-campus (rent/apartment),Female,1,0.7518,4,0,0.0,-0.5745506169396439,-0.0,29,2.4,3.4,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2169,1,1,0
1,6,-0.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,3,-1.4880000000000004,1,-1.3010000000000002,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,35,1,2.313583350763122,1.7390327338234781,1.7390327338234781,29,2.4,3.4,3,3,3,3,3,3,3,4,3,2,3,2,2,3,3,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,2170,2,7,1
1,6,-0.5270000000000001,7,8,1.9551999999999996,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,1,0.7518,4,0,0.0,-0.5745506169396439,-0.0,-7,-1.2,-0.19999999999999996,4,4,4,3,3,3,4,3,4,4,4,4,4,2,3,2.0,3.0,2.0,3.0,3.0,2.0,6.0,6.0,5.0,5.0,6.0,2171,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,2,-2.4880000000000004,3,0.6989999999999998,23,13.2376,3,0.05039999999999978,0,Other/Multiracial/Unknown,With family (commuting),Female,0,-0.2482,21,1,0.9554624239746363,0.3809118070349924,0.3809118070349924,-12,-1.7,-0.7,2,2,2,3,3,4,2,2,4,4,3,4,4,3,4,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,5.0,5.0,2172,2,7,1
1,6,-0.5270000000000001,7,6,-0.044800000000000395,1,1,0.7532,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Female,1,0.7518,9,0,0.0,-0.5745506169396439,-0.0,32,2.7,3.7,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3.0,3.0,3.0,,2.0,2.0,4.0,3.0,4.0,4.0,3.0,2173,1,1,0
1,5,-1.5270000000000001,6,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,Off-campus (rent/apartment),Male,1,0.7518,2,0,0.0,-0.5745506169396439,-0.0,11,0.6000000000000001,1.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,4.0,3.0,4.0,3.0,,4.0,5.0,4.0,4.0,4.0,2174,1,1,0
0,6,-0.5270000000000001,7,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,6,1.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,-13,-1.8,-0.8,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3.0,3.0,3.0,3.0,3.0,2.0,6.0,5.0,5.0,5.0,5.0,2175,0,1,0
1,7,0.47299999999999986,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,8,5.0504,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,8,0,0.0,-0.5745506169396439,-0.0,-7,-1.2,-0.19999999999999996,2,2,2,3,3,4,3,3,2,2,3,2,2,2,2,5.0,6.0,5.0,5.0,,5.0,5.0,4.0,5.0,4.0,4.0,2176,1,2,1
0,6,-0.5270000000000001,7,7,0.9551999999999996,0,1,0.7532,1,0.6564,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,-11,-1.6,-0.6000000000000001,2,2,2,3,3,3,4,3,2,2,2,2,2,3,2,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,2177,1,2,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,18,8.2376,23,20.0504,0,Other/Multiracial/Unknown,With family (commuting),Male,0,-0.2482,14,1,0.26960174696474476,-0.3049488699748992,-0.3049488699748992,-2,-0.7,0.3,2,3,3,3,3,4,3,3,4,3,4,4,4,4,4,2.0,,2.0,,2.0,2.0,4.0,4.0,4.0,4.0,5.0,2178,2,4,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,1,0,-0.2468,1,0.6564,6,1.5119999999999996,3,0.6989999999999998,18,8.2376,3,0.05039999999999978,0,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,8,0,0.0,-0.5745506169396439,-0.0,-2,-0.7,0.3,3,2,3,2,2,2,1,2,2,2,3,3,3,3,3,4.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,5.0,6.0,,2179,1,1,0
0,8,1.4729999999999999,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,White,On-campus (residence hall),Male,0,-0.2482,1,0,0.0,-0.5745506169396439,-0.0,-13,-1.8,-0.8,3,3,3,3,4,3,3,3,3,3,2,2,3,4,4,3.0,3.0,3.0,,3.0,3.0,5.0,5.0,4.0,4.0,5.0,2180,1,1,0
1,7,0.47299999999999986,7,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,18,8.2376,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,23,1,1.1647704972166821,0.5902198802770382,0.5902198802770382,7,0.19999999999999996,1.2,4,4,4,4,4,3,3,4,3,4,3,3,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,6.0,7.0,7.0,2181,2,7,1
0,8,1.4729999999999999,7,5,-1.0448000000000004,0,1,0.7532,0,-0.3436,4,-0.48800000000000043,4,1.6989999999999998,8,-1.7623999999999995,0,-2.9496,0,Other/Multiracial/Unknown,Off-campus (rent/apartment),Female,0,-0.2482,5,0,0.0,-0.5745506169396439,-0.0,12,0.7,1.7,4,4,4,2,3,2,2,2,3,3,3,3,2,4,4,3.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,5.0,6.0,5.0,2182,1,1,0
0,8,1.4729999999999999,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,41,1,2.998139082621394,2.4235884656817497,2.4235884656817497,16,1.1,2.1,1,1,1,3,2,2,3,3,2,2,3,3,2,2,2,4.0,5.0,4.0,5.0,5.0,,4.0,4.0,3.0,4.0,4.0,2183,2,4,1
1,6,-0.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,1,-1.3010000000000002,13,3.2376000000000005,0,-2.9496,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,33,2.8,3.8,2,1,1,3,4,3,4,4,3,2,3,3,3,3,3,5.0,6.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,2184,1,1,0
1,6,-0.5270000000000001,6,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,13,10.0504,1,White,With family (commuting),Male,0,-0.2482,1,0,0.0,-0.5745506169396439,-0.0,1,-0.4,0.6,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,6.0,7.0,2185,1,3,1
1,7,0.47299999999999986,6,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,-10,-1.5,-0.5,3,4,4,3,3,2,2,2,1,1,2,2,1,3,3,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,2186,1,2,1
0,5,-1.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,7,2.5119999999999996,3,0.6989999999999998,28,18.2376,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,-10,-1.5,-0.5,3,2,2,2,3,2,3,2,3,2,2,3,2,2,2,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2187,1,3,1
